0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
23.3974359,18.34415584,99.35483871,6.490384615,40.6
16.57838983,13.18553092,98.73271889,9.981684982,37.1
22.81312127,14.28571429,99.24050633,12.54019293,24.9
14.87716106,14.49426486,96.6733871,8.540925267,43.9
15.6668608,15.07731959,96.75810474,8.152173913,40.5
26.18900556,16.48351648,94.51038576,15.96045198,18.1
24.23580786,12.05164993,94.82993197,22.81553398,19.2
30.1242236,15.96244131,99.06976744,18.65546218,17.1
26.96411251,16.75675676,89.80582524,12.96101159,20.7
25.99544937,30.57722309,98.61538462,5.824175824,51.4
21.95860676,15.38461538,99.04761905,10.30534351,33.5
18.60047847,14.15220294,98.81266491,8.813928183,37.6
19.89366416,18.76988335,97.01646091,5.542168675,42
23.92254841,21.65725047,98.69888476,9.888579387,19.2
26.74094708,17.98449612,98.47328244,12.17150761,16.6
27.17325228,16.80960549,98.47972973,13.14623338,22.1
32.250443,19.08783784,98.33887043,14.61748634,22.7
25.47169811,14.80314961,97.24349158,12.76923077,16.2
26.81202121,13.93323657,98.99425287,12.54901961,24.9
27.7992278,17.19038817,98.72262774,12.3880597,22.7
29.13625304,17.54966887,97.10610932,13.77410468,22.3
15.27057079,13.41059603,98.53181077,7.200929152,47.3
17.37995825,16.76217765,96.27586207,7.843137255,30.8
16.68437832,11.30319149,98.30065359,8.463661454,38.4
16.32553606,11.03368177,98.06378132,8.092948718,35.1
25,14.26814268,98.54545455,13.97616468,23.7
22.3677318,15.29411765,97.28183119,8.755274262,27.8
19.28034372,16.56346749,98.32572298,6.412825651,30.9
19.77715877,12.7744511,97.66081871,10.2464332,32.9
24.3956044,29.66714906,98.85550787,6.600985222,60
18.07304786,19.64017991,97.37226277,5.105105105,56.5
22.80270436,29.6803653,98.64864865,4.732510288,63.2
21.01784534,30.28037383,98.70848708,4.081632653,58.4
17.50162655,13.4057971,98.22064057,7.177615572,35.7
17.20430108,12.55813953,98.62385321,9.306930693,36.2
21.89740761,12.51646904,97.43260591,9.89010989,28.4
23.68972746,14.52750353,99.29971989,13.47593583,28.5
23.89434889,16.53543307,92.83625731,10.25316456,25.2
24.87341772,15.70247934,92.08523592,10.68493151,22.5
21.73228346,10.98901099,95.90163934,9.862385321,24.2
24.51114143,14.30260047,96.35535308,10.91476091,24.7
27.61545712,14.01648999,97.92387543,15.51155116,20.4
26.11832612,18.22157434,95.67642957,11.99563795,17.7
24.84774665,20.03710575,97.46835443,10.98626717,25.7
20.68965517,12.35772358,96.8503937,13.36088154,18.8
26.92307692,15.49295775,100,15.64516129,16.9
19.62332928,15.20661157,94.53125,12.12484994,28.4
17.59309228,14.09883721,98.56733524,7.45526839,34.3
28.42105263,13.97515528,99.69040248,19.83870968,15.9
